,Start,End,Speaker,Text
0,0:00:00,0:00:06,SPEAKER 1," Hi, how do you think about Melbourne? "
,Start,End,Speaker,Text
0,0:00:00,0:00:08,SPEAKER 1, Do you know who is Monosh? 
,Start,End,Speaker,Text
0,0:00:00,0:00:08,SPEAKER 1," Also, what about Australia? "
,Start,End,Speaker,Text
0,0:00:00,0:00:28,SPEAKER 1," Yeah, the only way is to, for the next I need to limit the speaking for the question, okay. "
1,0:00:28,0:00:28,SPEAKER 2, So what is the value for 1 plus 1? 
,Start,End,Speaker,Text
0,0:00:00,0:00:06,SPEAKER 1, What is the result for 1 plus 1? 
,Start,End,Speaker,Text
0,0:00:00,0:00:28,SPEAKER 1, How about Melvin? 
,Start,End,Speaker,Text
0,0:00:00,0:00:09,SPEAKER 1, Do you know Monash University? 
,Start,End,Speaker,Text
0,0:00:00,0:00:14,SPEAKER 1, Can you give me more information? 
,Start,End,Speaker,Text
0,0:00:00,0:00:15,SPEAKER 1, How about Melbourne? 
,Start,End,Speaker,Text
0,0:00:00,0:00:04,SPEAKER 1, Thanks for watching! 
,Start,End,Speaker,Text
0,0:00:00,0:00:07,SPEAKER 1," Hi, how are you? And Pepper? "
,Start,End,Speaker,Text
0,0:00:00,0:00:10,SPEAKER 1," Oh, thank you. Are you good? How's your day's paper? "
,Start,End,Speaker,Text
0,0:00:00,0:00:14,SPEAKER 1, I'm good and today is sunny so everything will be fine. 
1,0:00:14,0:00:14,SPEAKER 2," Just one thing, because I woke up very early today, so it's kinda sad. "
,Start,End,Speaker,Text
0,0:00:00,0:00:14,SPEAKER 1," Yeah, thank you. "
,Start,End,Speaker,Text
0,0:00:00,0:00:10,SPEAKER 1," Good morning, good morning Bob, I'd like you to meet with me. "
,Start,End,Speaker,Text
0,0:00:00,0:00:07,SPEAKER 1, Thanks for watching! 
,Start,End,Speaker,Text
0,0:00:00,0:00:16,SPEAKER 1, It's nice. 
1,0:00:16,0:00:16,SPEAKER 2, I was wondering if you'd like to go to dinner party tonight? 
,Start,End,Speaker,Text
0,0:00:00,0:00:21,SPEAKER 1," Hi Bob, long time no see. "
,Start,End,Speaker,Text
0,0:00:00,0:00:19,SPEAKER 1," Bob, do you know that I love you, right? "
,Start,End,Speaker,Text
0,0:00:00,0:00:17,SPEAKER 1, That truck just ran a red light and hit the bus. 
1,0:00:17,0:00:17,SPEAKER 2, What should I do? 
,Start,End,Speaker,Text
0,0:00:00,0:00:27,SPEAKER 1, How big is Australia? 
,Start,End,Speaker,Text
0,0:00:00,0:00:10,SPEAKER 1," Hi Bob, do you know Python? "
,Start,End,Speaker,Text
0,0:00:00,0:00:03,SPEAKER 1, Thanks for watching! 
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER 1," Fuck with you, Bob. How you doing, man? "
,Start,End,Speaker,Text
